Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;BEVSTD__Bevoelkerungsstand__Anzahl
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT000;unter 1 Jahr;771223
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT001;1-Jährige;788905
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT002;2-Jährige;814425
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT003;3-Jährige;799778
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT004;4-Jährige;773303
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT005;5-Jährige;782784
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT006;6-Jährige;814607
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT007;7-Jährige;833793
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT008;8-Jährige;866345
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT009;9-Jährige;954074
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT010;10-Jährige;943186
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT011;11-Jährige;970098
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT012;12-Jährige;949410
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT013;13-Jährige;933225
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT014;14-Jährige;901858
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT015;15-Jährige;900050
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT016;16-Jährige;908955
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT017;17-Jährige;936004
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT018;18-Jährige;937447
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT019;19-Jährige;950649
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT020;20-Jährige;911786
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT021;21-Jährige;908151
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT022;22-Jährige;910085
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT023;23-Jährige;905701
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT024;24-Jährige;890669
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT025;25-Jährige;912320
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT026;26-Jährige;931254
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT027;27-Jährige;1029212
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT028;28-Jährige;1144718
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT029;29-Jährige;1202052
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre;ALT030;30-Jährige;1296324
